Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Cend1;2,363554001;2,768965721;2,54445982;2,457645416;2,475280762;2,072673321;2,548197269;2,762140751;2,74263525;2,744214058;2,547886372;2,156564236;2,193321228;2,452949524;2,424362659;2,315735817;2,596196175;2,790008545;-0,223793348;0,56442681;0,909031974;0,125331243;0,389380886;0,72263838;-0,126010418;0,262775489;0,868632302;0,08442529;0,141623085;0,978962963;;5;5;5;45,6;45,6;45,6;14,987;0;60,772;3755500000;12;625920000;Q9JKC6;Q9JKC6;Cell cycle exit and neuronal differentiation protein 1
Kiaa1161;-2,820965767;-3,523838043;-3,083577633;-3,15802002;-2,742749214;-2,313523769;-2,808020115;-2,947740078;-2,883995533;-3,221113205;-3,291898251;-3,285170078;-3,053582191;-3,445113182;-3,074855328;-2,943852425;-2,501508713;-3,41323185;0,404696147;0,564134579;0,897514019;0,262875239;0,557718997;0,537524962;0,074876944;0,226930943;0,899867769;0,313196182;0,520794579;0,972292683;;1;1;1;1,7;1,7;1,7;81,361;0,0040723;1,407;7097200;1;181980;Q69ZQ1;Q69ZQ1;Uncharacterized family 31 glucosidase KIAA1161
"Prps1;Prps1l3";0,619792938;0,409947395;0,424678326;0,829363823;0,513202667;0,565095425;0,67126894;0,416285038;0,4134202;0,369529724;0,452021122;0,755503178;0,85528183;0,529806137;0,636185169;0,809305191;0,702022552;0,561166763;0,151081085;0,563841193;0,911179142;0,015518506;0,048825928;0,965049425;0,148073037;0,415985341;0,829803001;0,165146828;0,528295414;0,961856;;8;8;2;35,8;35,8;9,4;34,834;0;24,714;1153400000;10;72086000;"Q9D7G0;G3UXL2";"Q9D7G0;G3UXL2";Ribose-phosphate pyrophosphokinase 1
Wipi2;0,489806175;0,559415817;0,375468731;0,120566368;0,450299263;0,409143925;0,412773609;0,351869106;0,443178654;0,567961693;0,680782795;0,635423183;0,085133553;0,565805435;0,507915974;0,404648781;0,422950745;0,342647552;-0,148227056;0,563608998;0,906515702;-0,072289785;0,531003809;0,773736312;-0,241770903;0,712580552;0,740442019;-0,237973531;2,365936931;1;;7;7;7;30,8;30,8;30,8;48,477;0;67,928;411230000;7;24190000;"Q80W47;D3YWK1";"Q80W47;D3YWK1";WD repeat domain phosphoinositide-interacting protein 2
Gnai2;3,604466438;3,459547997;3,421234608;3,562952042;3,538525581;3,610676289;3,63496542;3,379926205;3,434699535;3,474602699;3,4330163;3,475874424;3,351061821;3,494482994;3,643420696;3,422968864;3,458927155;3,580952644;0,075634956;0,562516599;0,923562092;-0,011885961;0,042410293;0,970514188;0,035157363;0,153523668;0,942863897;0,026451747;0,205028859;0,992285814;;18;16;11;61,1;54,6;40,3;40,489;0;134,53;11440000000;47;672960000;"P08752;A0A0A6YWA9";"P08752;A0A0A6YWA9";Guanine nucleotide-binding protein G(i) subunit alpha-2
Pnpo;-1,453484535;-1,952555656;-1,863753796;-1,399425507;-1,475379944;-1,710727215;-1,311012745;-1,219664097;-1,394999027;-1,353145599;-1,601238728;-1,794680119;-1,566970825;-1,51061821;-1,834089756;-1,68704319;-1,50314045;-1,862262726;0,228087107;0,562401604;0,90894772;0,448039373;1,29750912;0,35009205;-0,054204782;0,122105084;0,937197373;-0,101127307;0,242536445;0,961756582;;2;2;2;4,2;4,2;4,2;30,114;0,0010796;1,9512;104720000;4;8726800;Q91XF0;Q91XF0;Pyridoxine-5-phosphate oxidase
Fth1;3,293206215;3,087759018;2,965284824;3,219547272;3,203742027;3,306023121;3,193589687;2,823331356;3,122443676;3,075692177;3,274572849;2,943111897;2,942738533;2,962752342;3,313088894;3,187319756;3,316757202;3,198515892;0,127687454;0,562203779;0,911527653;-0,068961779;0,176332656;0,860164977;-0,024932384;0,055867269;0,965620162;0,136405309;0,57983235;0,965940187;;13;13;13;72;72;72;21,066;0;75,987;10609000000;41;964490000;"P09528;A0A494BA92;A0A494B9D4;A0A494BAP3";"P09528;A0A494BA92";"Ferritin heavy chain;Ferritin heavy chain, N-terminally processed"
Prickle2;0,288854599;0,377776146;0,406063557;0,598337173;0,353885651;0,426665783;0,3671422;0,55502367;0,516966343;0,507066727;0,499233723;0,613526821;0,192333221;0,334285736;0,315363407;0,51445961;0,651241302;0,5984478;0,102064768;0,561955608;0,921690802;0,122145971;0,841853454;0,600751423;-0,259281635;1,961355469;0,712411765;0,048107147;0,371165363;0,97158337;;11;11;11;17,4;17,4;17,4;102,23;0;21,691;1117900000;14;25406000;"A7YQ68;Q80Y24";"A7YQ68;Q80Y24";Prickle-like protein 2
Pacsin3;-1,986433983;-1,780773163;-1,727989674;-2,175040245;-2,193245888;-1,75138998;-2,26670599;-1,77772665;-1,670136929;-2,325418472;-1,612648487;-1,874078274;-2,302176476;-1,874135017;-1,908684254;-2,391532898;-1,796029091;-2,184949875;-0,208159765;0,56169805;0,904471324;-0,07312425;0,134961582;0,880469871;-0,090950171;0,134430677;0,922405385;-0,186788877;0,276093434;0,962031949;;2;2;2;5;5;5;48,584;0;3,6974;94663000;2;4507800;"Q99JB8;B1AW94;B1AW93;B1AW91;A6PWR1";"Q99JB8;B1AW94;B1AW93;B1AW91;A6PWR1";Protein kinase C and casein kinase II substrate protein 3
Abhd16a;-2,929350853;-3,516180992;-3,032026768;-2,735795021;-3,185404778;-2,588690281;-3,137439251;-2,663519382;-3,076499462;-2,864093781;-2,814626217;-3,049827099;-3,316497803;-3,114197731;-3,108998775;-2,934247971;-2,636396408;-3,09932518;0,322556178;0,561697099;0,885362046;0,200033506;0,355201248;0,687929936;-0,270382404;1,281328742;0,690680702;0,019525846;0,043476315;0,989576808;;4;4;4;8,6;8,6;8,6;63,085;0;10,682;256650000;4;9166100;Q9Z1Q2;Q9Z1Q2;Abhydrolase domain-containing protein 16A
Tbc1d8b;-1,734313965;-2,333443642;-2,237892628;-1,682734489;-1,496333122;-2,126337528;-1,929152012;-1,587498188;-2,055385113;-1,884149551;-1,176468372;-1,437588215;-1,403441429;-1,947342873;-1,503782749;-1,566707611;-1,843034744;-1,893527031;0,333415031;0,56146589;0,884508197;0,244538307;0,453091174;0,600623077;-0,118786971;0,168770144;0,899672563;-0,268354416;0,510675289;0,971665768;;2;2;2;2,7;2,7;2,7;127,89;0;4,9925;24283000;2;485650;A3KGB4;A3KGB4;TBC1 domain family member 8B
Vps33b;-0,033056259;-0,128599167;-0,325466633;-0,248603821;-0,42990303;-0,219498158;-0,173989773;-0,186172962;-0,212383747;-0,179620743;-0,109488964;0,021747112;-0,548679352;-0,363624573;-0,254204273;-0,228096962;-0,345658302;-0,405040741;-0,136960983;0,560808465;0,909619345;-0,028474808;0,119531403;0,92250154;-0,299715201;1,344464187;0,698910798;-0,23714447;1,405056912;1;;7;7;7;13,3;13,3;13,3;70,525;0;14,246;232730000;8;6464700;"P59016;S4R227;S4R1H4";"P59016;S4R227;S4R1H4";Vacuolar protein sorting-associated protein 33B
Igsf8;3,004878044;2,989682198;2,918482304;3,127953529;2,992105484;2,992124081;2,985443592;2,532515049;2,660192966;2,840741158;2,927945614;2,783451557;2,735983849;3,074767113;2,987935543;2,907813072;2,816719055;2,940644264;0,066380183;0,560699805;0,92776841;-0,244963646;0,82602647;0,453100508;0,082182725;0,3042609;0,881509885;0,037679354;0,269144918;0,986333593;;13;13;2;40,5;40,5;7,5;58,131;0;172,64;10630000000;33;442930000;"G3UYZ1;A0A0R4J117;D3Z4Q8;A0A0A6YWK7";"G3UYZ1;A0A0R4J117";
Epn2;1,229802132;1,595915794;1,273839474;1,497249603;1,542942047;1,500319004;1,442847729;1,358790874;1,482721806;1,509179115;1,416714191;1,266008854;1,15231514;1,431017876;1,429677486;1,512610435;1,501774788;1,395858765;0,146984418;0,560571281;0,904401961;0,061601003;0,195453439;0,85940637;-0,059630553;0,196414955;0,91576659;0,072780609;0,382257997;0,957865564;;8;8;1;21,1;21,1;3,3;68,39;0;45,941;1101000000;11;44039000;"J3QNT7;Q5NCM5;F7CUV7";"J3QNT7;Q5NCM5;F7CUV7";
Ipo9;-2,3126688;-1,980668068;-2,772650242;-1,539144516;-2,368982315;-1,898462772;-1,688877583;-2,225461483;-1,653569698;-1,825582504;-1,833825588;-1,522232533;-2,416967392;-1,573295593;-2,161300182;-1,459869385;-1,479722977;-2,557506561;0,419799169;0,560429556;0,899242902;0,499359449;0,780847673;0,379058452;-0,323307514;0,526914941;0,752276817;-0,105152766;0,100156424;0,988812947;;3;3;3;4,1;4,1;4,1;116,05;0;6,2961;43361000;3;1032400;"Q91YE6;E9QKZ2;F6UT58;E0CY46;F6TLX3;E0CXB2";"Q91YE6;E9QKZ2";Importin-9
Mcu;2,507199287;2,644361496;2,514679432;2,620994568;2,569950104;2,906861782;2,800513744;2,61340189;2,717058659;2,578139305;2,624442577;2,616294384;2,391197205;2,463975906;2,615658283;2,374588013;2,682845116;2,642990112;0,143855413;0,560351884;0,905085346;0,154911359;1,038186108;0,506079867;-0,116014957;0,791939534;0,802641087;-0,039484342;0,150466678;0,989471314;;9;9;9;30,3;30,3;30,3;39,681;0;52,606;3908300000;14;244270000;Q3UMR5;Q3UMR5;Calcium uniporter protein, mitochondrial
Tpm1;-2,097233772;-1,60208416;-1,827091694;-1,399098396;-1,762290955;-1,681059361;-1,210684299;-1,404205799;-1,194825649;-1,540071487;-1,469554424;-1,792685986;-1,461283684;-1,565084457;-2,174556255;-1,238081932;-1,199980736;-1,367889404;0,227986972;0,560213839;0,908624585;0,572231293;1,649742792;0,284829268;-0,132870833;0,211970862;0,880704918;0,332119942;1,401231802;1;;11;2;0;43,5;11,7;0;28,668;0;5,3517;296540000;3;19769000;E9Q456;E9Q456;
Atp2b1;5,431921959;5,501614571;5,330402851;5,553476334;5,40081501;5,61717844;5,540494442;5,485372066;5,443656445;5,512612343;5,433071613;5,53524828;5,266289711;5,478648186;5,478824139;5,441559792;5,414525986;5,335917473;0,102510134;0,560150651;0,921233181;0,068527857;0,52854715;0,779934987;-0,0857234;0,482002865;0,849507495;-0,096309662;1,020177937;0,964449438;;45;45;20;45,2;45,2;22,1;134,75;0;323,31;81824000000;130;1636500000;"G5E829;A0A1W2P7C7;A0A1W2P7R3;A0A1W2P867";G5E829;Plasma membrane calcium-transporting ATPase 1
Gclc;-1,348428726;-1,732745171;-1,872041225;-1,799057961;-2,246397972;-1,748903751;-2,248042583;-1,634988308;-1,817610264;-1,364053726;-1,659090519;-1,740463734;-1,891102791;-1,499727249;-1,642678738;-2,218146324;-1,867125511;-1,810765266;-0,280381521;0,558792567;0,893449132;-0,249142011;0,446558951;0,598906548;-0,089966933;0,216369308;0,895617184;-0,377476374;1,03537094;1;;3;3;3;6,6;6,6;6,6;72,571;0;5,9947;209800000;4;6767700;P97494;P97494;Glutamate--cysteine ligase catalytic subunit
Apip;-2,485098839;-2,353283882;-2,688080311;-1,927475929;-2,149841309;-2,607644558;-2,304511547;-2,2511096;-2,301553249;-2,794093132;-2,982248783;-2,278427601;NaN;-2,059136391;-2,28218317;-2,075030327;-2,732092857;-1,979072571;0,280500412;0,558732228;0,894559006;0,223096212;1,060022498;0,425440191;0,514263391;0,774958369;0,687687151;0,42285792;0,597479778;0,98428764;;2;2;2;12;12;12;26,949;0,0010624;1,8394;50614000;2;3163400;Q9WVQ5;Q9WVQ5;Methylthioribulose-1-phosphate dehydratase
Pfkp;2,95257473;2,994351387;2,767163754;3,119462967;2,909856796;3,034764767;3,095904827;2,950832844;3,038972378;2,915537834;2,939608097;2,996229649;2,836875916;2,877074242;3,031001568;2,973122597;3,000762939;2,952136993;0,116664886;0,558551318;0,919988677;0,123873393;0,691400444;0,633337292;-0,035474618;0,216182192;0,935078864;0,024882317;0,376075459;0,990385864;;24;23;21;42,1;40,9;36,9;85,454;0;118,99;6402800000;44;194030000;"Q9WUA3;Q8C605;F6YL81;D3YUA3";"Q9WUA3;Q8C605";"ATP-dependent 6-phosphofructokinase, platelet type;ATP-dependent 6-phosphofructokinase"
"Smarca5;Smarca1";-1,853629112;-1,744132996;-1,591265202;-2,306404114;-1,762227058;-1,828567028;-1,814496517;-2,004779339;-2,090770245;-2,030288696;-1,955483913;-1,777920246;-1,602277756;-2,079800606;-1,767112255;-2,052823067;-2,609444618;-2,152239799;-0,236056964;0,558177003;0,906665163;-0,240339597;1,010740499;0,421864699;0,10483408;0,263465742;0,878014091;-0,350271543;0,871682298;0,990397004;;3;3;3;2,8;2,8;2,8;121,63;0;2,7908;90419000;3;1644000;"Q91ZW3;Q6PGB8";"Q91ZW3;Q6PGB8";"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1"
Clmn;-0,080387115;0,355680466;0,251125813;0,145262718;-0,029111862;-0,240270138;0,063191891;-0,256536007;-0,127903461;-0,132872581;0,07180357;-0,057321072;-0,178736687;-0,013285637;-0,020357609;0,133590698;0,164330482;-0,035087585;-0,216846148;0,557929002;0,909491453;-0,28255558;0,812447573;0,441278212;-0,03132995;0,144407376;0,947830632;0,12707456;0,669563353;0,960946654;;9;9;9;13,8;13,8;13,8;117,23;0;31,288;390270000;13;7964700;"Q8C5W0;A0A1Y7VNK2";Q8C5W0;Calmin
Lrrc8a;0,36307621;0,494372368;0,257217884;0,385649681;0,141823769;0,210437298;0,423661709;0,375060558;0,212014675;0,319087029;-0,387700558;0,385600567;0,334860802;0,096679688;0,26168108;0,382827759;0,22882843;0,14691925;-0,125585238;0,557516565;0,910026432;-0,034643173;0,136292589;0,908332491;0,12541151;0,186137901;0,892976784;0,147196134;0,223772412;0,960897787;;6;6;5;12,8;12,8;11,4;94,118;0;22,283;343350000;7;7629900;Q80WG5;Q80WG5;Volume-regulated anion channel subunit LRRC8A
Preb;-1,466553688;-2,264257431;-1,398090839;-1,008126259;-1,416754723;-1,50701189;-1,511312962;-1,768646717;-1,545498371;-1,701182365;-2,004164219;-1,628489017;-1,87400341;-1,557619095;-1,137230396;-1,290746689;-2,263429642;-1,79481411;0,399003029;0,557003728;0,887746988;0,10114797;0,128190736;0,870032269;0,254994233;0,453189006;0,780767748;-0,005051613;0,005455291;0,997403836;;2;2;2;8,9;8,9;8,9;45,437;0;16,449;158990000;2;8367700;"Q9WUQ2;D3Z3S1;F6XLZ3";"Q9WUQ2;D3Z3S1;F6XLZ3";Prolactin regulatory element-binding protein
Mrpl37;-2,134151459;-1,890454292;-2,405650616;-3,036230087;-2,074303627;-2,508393764;-1,969929218;-1,906712055;-1,885857105;-1,975221634;-2,266233921;-1,912995815;-1,592921257;-2,312047005;-1,787123203;-2,876152039;-2,396738052;-2,737764359;-0,396223704;0,55685969;0,884717489;0,222585996;0,668993992;0,516680511;0,154119968;0,254164518;0,860829194;-0,61873436;1,584504561;1;;4;4;4;12,1;12,1;12,1;48,34;0;6,0578;132560000;4;4418700;Q921S7;Q921S7;39S ribosomal protein L37, mitochondrial
Fam163b;-2,304067612;-2,209981918;-1,786473751;-2,351690292;-2,615037918;-2,131440639;-1,960990429;-1,927800655;-2,309912205;-1,910421371;-1,840447903;-2,073651791;-2,073138237;-2,153944969;-1,861710072;-2,195645332;-2,386767387;-2,271026611;-0,265881856;0,556294234;0,887651551;0,033939997;0,05853214;0,949137232;-0,088090738;0,325536523;0,87684261;-0,342972755;1,744095186;0,997548387;;1;1;1;14,4;14,4;14,4;18,305;0;26,504;102440000;1;17074000;Q8BUM6;Q8BUM6;Protein FAM163B
Mecp2;2,917815208;2,956896782;3,591379642;2,677018166;3,154223442;2,572697163;2,622716427;2,322863102;2,54707098;2,730102539;2,524228573;2,733389378;2,940261841;3,274331093;2,835015774;3,019152641;2,449753761;2,298192024;-0,354050954;0,555822117;0,89026087;-0,657813708;1,305154974;0,322514286;0,353962739;1,114080639;0,690861789;-0,073540688;0,116182171;0,98784296;;17;17;11;42,4;42,4;25,6;52,307;0;61,713;4481700000;30;203710000;Q9Z2D6;Q9Z2D6;Methyl-CpG-binding protein 2
Sptbn2;5,551276207;5,62233448;5,55748415;5,781867981;5,569951057;5,631016254;5,558114529;5,63001585;5,642707348;5,616213799;5,557137012;5,725176334;5,464985847;5,621598244;5,543174267;5,600268364;5,553604126;5,381028175;0,083913485;0,555413914;0,928513592;0,03324763;0,405276191;0,879459239;-0,089589596;0,600096291;0,834396249;-0,121208827;0,662721483;0,967006512;;99;90;90;57,5;53,7;53,7;270,92;0;323,31;62991000000;201;488300000;"Q68FG2;A0A494BBH5;A0A5F8MPM8;D3YWH8";Q68FG2;
Pde1b;-1,048780441;-0,946006775;-0,798587322;-0,848488808;-0,888457298;-0,730624676;-0,836602688;-0,891209126;-0,609320164;-0,676887512;-0,779818058;-0,529249668;-0,814394951;-1,444068909;-0,76435709;-0,849589348;-0,427790642;-0,624516487;0,108601252;0,555074156;0,919385859;0,152080854;0,604084251;0,612169154;-0,345621904;0,681718749;0,725979592;0,028019587;0,069001406;0,989827848;;3;3;3;6,7;6,7;6,7;61,225;0;6,496;136060000;3;5039300;"Q01065;Q6PDS5;A0A2I3BPC1";"Q01065;Q6PDS5;A0A2I3BPC1";Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1B
Ap1m1;0,060976982;0,11102581;-0,142007351;-0,175296783;0,036183357;-0,301852703;-0,298890591;-0,238838673;-0,125539303;-0,183871269;-0,237196445;-0,321794987;-0,498890877;-0,162337303;-0,141135693;-0,125377655;-0,549206734;-0,12873745;-0,15698719;0,555030619;0,908265532;-0,231088003;1,173821439;0,403329577;-0,019833724;0,055831316;0,967939412;-0,020153046;0,047150217;0,988560096;;4;4;4;12,1;12,1;12,1;48,542;0;8,1039;368180000;4;14727000;"P35585;D3YZ71";"P35585;D3YZ71";AP-1 complex subunit mu-1
Fam210a;-1,21942997;-1,479567528;-1,407977581;-1,415216446;-1,106444359;-1,096429348;-0,86185503;-1,635064602;-1,122323513;-1,256853104;-1,142470837;-0,925563335;-1,529500961;-1,166160583;-1,309388638;-1,554246902;-1,358739853;-1,418462753;0,162961642;0,554253854;0,901572917;0,162577311;0,271375866;0,760019955;-0,226720969;0,722691444;0,742890052;-0,335520744;1,384599521;1;;2;2;2;9,2;9,2;9,2;31,599;0;3,3205;66515000;2;4157200;Q8BGY7;Q8BGY7;Protein FAM210A
Igfbp5;-3,300560951;-3,24727726;-3,859650135;-3,542440414;-3,697732925;-4,408125401;-3,571109295;-3,776714802;-3,912724018;-4,246566772;-3,715832233;-4,230825901;-3,973274231;-3,39542675;-3,957488537;-4,001580238;-4,230455399;-4,646011353;-0,413603465;0,554052226;0,892440367;-0,284353256;0,576725075;0,517529791;0,289011796;0,487881841;0,762181456;-0,228274028;0,37226601;0,964368421;;1;1;1;4,4;4,4;4,4;30,372;0;3,6118;63601000;1;4892400;Q07079;Q07079;Insulin-like growth factor-binding protein 5
S100a9;-2,598292351;-2,290752411;-3,00577116;-3,173173904;-2,53643322;-3,502277851;-3,657874584;-3,588459492;-3,221139431;-2,492444038;-2,975828648;-2,728827;-0,952829361;-2,587153435;-2,675062656;-1,576259613;-3,02767849;-3,360443115;-0,439023018;0,553985981;0,902480127;-0,857552528;1,590166802;0,328195122;0,660684745;0,500115311;0,746478708;0,077572823;0,04697751;0,990144487;;1;1;1;7,1;7,1;7,1;13,049;0,007986;1,174;30698000;1;4385400;P31725;P31725;Protein S100-A9
Slc25a51;-0,484525681;-0,352925301;-0,491255283;-0,202750206;-0,468122482;-0,324438572;-0,623123646;-0,762541294;-0,73086977;-0,58754158;-0,235733509;-0,684776783;-1,123805046;-0,503933907;-0,556442738;-0,913578987;-0,353679657;-0,184724808;0,111131668;0,553487908;0,921976728;-0,262609482;1,882700131;0,358742049;-0,225376606;0,395455572;0,799845697;0,018689473;0,024130247;0,988456453;;4;4;4;16,8;16,8;16,8;33,689;0;12,225;466600000;5;27447000;"Q5HZI9;G3UYJ3;A2AKV9;A2AKW0";"Q5HZI9;G3UYJ3;A2AKV9;A2AKW0";Solute carrier family 25 member 51
Acsl3;0,294342041;0,294474602;0,472155094;0,595056534;0,395915031;0,401127338;0,356787205;0,463625431;0,343720913;0,484639168;0,527822018;0,584748745;0,179002762;0,567868233;0,52139616;0,335183144;0,329999924;0,305494308;0,110375722;0,553404831;0,921021103;0,034387271;0,186627376;0,893433816;-0,109647592;0,363246533;0,850243955;-0,208844185;2,62856756;1;;4;4;4;9,4;9,4;9,4;80,491;0;25,312;326240000;5;10195000;"Q9CZW4;E9PUC2;D3Z4I4";"Q9CZW4;E9PUC2";Long-chain-fatty-acid--CoA ligase 3
Ubqln4;-2,913959503;-3,282300949;-3,895356655;-4,261881828;-4,647790909;-3,163692951;-4,410874844;-3,276387691;-3,160206318;-4,121047974;-3,884449482;-3,914866924;-3,280610085;-3,290691376;-3,226973057;-4,109699249;NaN;-3,587818146;-0,66058286;0,55338399;0,879524164;-0,251950582;0,197299782;0,785862273;0,707363288;3,110114793;0,652;0,124696096;0,217818339;0,9619002;;3;1;1;8,9;3,9;3,9;63,505;0;17,364;16302000;1;958920;Q99NB8;Q99NB8;Ubiquilin-4
Rsu1;-1,185501099;-1,535199165;-1,355131626;-1,622363091;-1,340907097;-1,634377003;-1,421453953;-2,039345264;-1,768779278;-1,65922451;-1,532782078;-1,531391621;-1,639119148;-1,473183632;-1,283150196;-1,188784599;-1,068195343;-1,34542942;-0,173938433;0,553307959;0,901091238;-0,384582202;0,871571603;0,379794072;0,109315077;0,418676029;0,836888889;0,373662949;1,834249398;1;;6;6;6;27,1;27,1;27,1;31,55;0;12,6;196450000;6;14032000;"Q01730;A2AUR7;Q9D031;B1AYQ0";"Q01730;A2AUR7;Q9D031";Ras suppressor protein 1
Rgs14;1,01275444;0,988375664;0,930325985;1,054562569;0,956747055;1,195335865;1,006771564;1,166844845;1,010617733;0,957793236;1,018416882;1,118550777;0,548160553;1,287621498;1,19574976;0,995110512;0,845519066;0,988347054;0,0917298;0,553268293;0,922830097;0,084259351;0,656135941;0,723806389;-0,021076361;0,029878973;0,980552083;-0,088594755;0,584257908;0,96678072;;9;9;9;24,7;24,7;24,7;59,846;0;35,814;751780000;12;26849000;P97492;P97492;Regulator of G-protein signaling 14
Pdk2;1,523702621;1,430030823;1,319072247;1,546627998;1,447877884;1,526809216;1,487763882;1,558050632;1,602776051;1,638884544;1,553170681;1,510928631;1,485248566;1,518828392;1,376745701;1,443891525;1,425096512;1,328310966;0,082836469;0,552561541;0,927319977;0,125261625;0,856747379;0,596890339;-0,107387066;0,876342748;0,801583072;-0,168561618;1,501155336;0,977340845;;7;7;7;32,4;32,4;32,4;46,04;0;34,231;1486400000;8;78233000;Q9JK42;Q9JK42;[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial
Myl12a;-3,455522537;-3,325387955;-3,485169888;-3,251273155;-3,926070213;-4,989953995;-4,137579441;-3,953521252;-3,790502071;-3,841090202;-3,93192625;-3,739967823;-3,965126991;-3,268877983;-3,412614346;-4,193821907;-3,83352375;-3,431376457;-0,633738995;0,551867414;0,883817518;-0,538507462;2,070828387;0,317222222;0,288788319;0,587803417;0,741429975;0,018087387;0,026715047;0,989929439;;6;1;1;46,5;11,6;11,6;19,895;0;4,0569;30306000;1;3367300;Q6ZWQ9;Q6ZWQ9;
Clec2l;-2,690244675;-3,079108238;-2,643606663;-2,637976646;-2,497825623;-2,711300373;-2,480684757;-1,918007374;-3,599443913;-3,004997253;-2,751793385;-2,111941814;-2,644833565;-3,049968719;-2,862987995;-2,971160889;-3,107185364;-2,677390099;0,188618978;0,550776081;0,904106972;0,138274511;0,096434311;0,886023825;-0,229685942;0,324946568;0,829916558;-0,295667966;0,429309365;0,964041284;;2;2;2;9;9;9;23,653;0;5,2114;26070000;4;2005400;P0C7M9;P0C7M9;C-type lectin domain family 2 member L
Fmn1;-2,892999649;-3,02773571;-2,327668667;-3,866550446;-3,341682434;-2,613820553;-3,030286312;-2,802274227;-2,843937397;-3,146670341;-3,587426662;-2,481464863;-2,898908615;-3,659297943;-3,653206348;-3,132754326;-2,777423859;-3,292920113;-0,524549802;0,550443065;0,899178082;-0,14269797;0,250701939;0,778159383;-0,331950347;0,335100696;0,802589781;0,004154523;0,003820888;0,998196614;;1;1;1;1,2;1,2;1,2;163,58;0,0010738;1,9152;4134000;1;54395;"Q05860;E9Q7P6";"Q05860;E9Q7P6";Formin-1
Glrx;0,992725372;1,23276329;0,963306904;1,261431694;1,169401169;1,11341238;1,139144421;1,346656322;1,331868649;1,190094948;1,161810398;1,107423306;1,206391335;0,99428463;1,178633213;1,483065605;1,090121269;1,072802544;0,118483226;0,548092681;0,920640227;0,209624608;0,902160707;0,462933333;-0,026673158;0,139268594;0,951913465;0,062220256;0,173039358;0,978756343;;4;4;4;50,5;50,5;50,5;11,871;0;20,13;1722300000;8;287050000;"Q9QUH0;A0A1Y7VM65";"Q9QUH0;A0A1Y7VM65";Glutaredoxin-1
